boundary_date,offset_days,maturity_date,cashflow_count,dirty_price,central_slope_per_year,second_difference
2036-05-15,0,2036-05-15,21,98.528710503829274,-0.47244594576891785,0.00073343729421537773
2036-05-15,1,2036-05-16,22,98.52778285002222,-1.0792883821338961,-0.0040586013290919709
2036-05-15,2,2036-05-17,22,98.522796594886074,-0.90003533386543211,0.0050408098127547873
2036-05-15,3,2036-05-18,22,98.522851149562683,0.063844400855614936,0.00024072298023725125
2036-05-15,4,2036-05-19,22,98.52314642721953,-0.19904666884837496,-0.0016812219923139082
2036-05-15,5,2036-05-20,22,98.521760482884062,-0.5083627165380733,-1.3660460780329231E-05
2036-05-15,6,2036-05-21,22,98.520360878087814,-0.5092193911547227,8.9663532918393685E-06
2036-05-15,7,2036-05-22,22,98.518970239644858,,
2036-11-15,-7,2036-11-08,22,98.209141714050304,,
2036-11-15,-6,2036-11-09,22,98.209173669460938,0.015750117513029238,2.2391192501913793E-05
2036-11-15,-5,2036-11-10,22,98.209228016064074,-0.61902386542666221,-0.003500604797650908
2036-11-15,-4,2036-11-11,22,98.205781757869559,-0.61673465655278648,0.0035131484079187203
2036-11-15,-3,2036-11-12,22,98.205848648082963,-0.29789950892297412,-0.0017661065030978307
2036-11-15,-2,2036-11-13,22,98.204149431793269,-0.62040345817329978,-1.0384243012140359E-06
2036-11-15,-1,2036-11-14,22,98.202449177079274,-1.2494250151846131,-0.0034456550387744755
2036-11-15,0,2036-11-15,22,98.197303267326504,-0.8011930689455582,0.0059017204976186122
2036-11-15,1,2036-11-16,23,98.198059078071353,0.14888011659362377,-0.0006958400289107658
2036-11-15,2,2036-11-17,23,98.198119048787291,-0.29293663848154239,-0.0017250736975285008
2036-11-15,3,2036-11-18,23,98.1964539458057,-0.56411218308451083,0.00023918030244374222
2036-11-15,4,2036-11-19,23,98.195028023126554,-0.52021714469795199,1.340455838771959E-06
2036-11-15,5,2036-11-20,23,98.193603440903246,-0.5224578622463838,-1.3618360213740743E-05
2036-11-15,6,2036-11-21,23,98.192165240319724,-1.1528219879106771,-0.0034404316434262228
2036-11-15,7,2036-11-22,23,98.187286608092776,,
2037-05-15,-7,2037-05-08,23,97.906045667666234,,
2037-05-15,-6,2037-05-09,23,97.900713998954828,-0.96311128475672803,0.0053860153145564027
2037-05-15,-5,2037-05-10,23,97.900768345557978,0.021661733384270576,1.0001223202493748E-05
2037-05-15,-4,2037-05-11,23,97.900832693384331,-0.30247215297517727,-0.0017860773128433038
2037-05-15,-3,2037-05-12,23,97.89911096389784,-0.63046061461236036,-1.111973722345283E-05
2037-05-15,-2,2037-05-13,23,97.897378114674126,-0.6326722359339243,-9.9873577141806891E-07
2037-05-15,-1,2037-05-14,23,97.89564426671464,-0.63413719185714257,-7.0284199722436824E-06
2037-05-15,0,2037-05-15,23,97.893903390335183,-1.1386661147739829,-0.0027575136234077036
2037-05-15,1,2037-05-16,24,97.889405000332317,-0.81001151986423992,0.0045583607188035558
2037-05-15,2,2037-05-17,24,97.889464971048255,0.021249612963423203,-3.5051964601962027E-06
2037-05-15,3,2037-05-18,24,97.889521436567733,-0.2556327540965242,-0.0015136584586628032
2037-05-15,4,2037-05-19,24,97.888064243628548,-0.53162365983443038,1.3795231126323415E-06
2037-05-15,5,2037-05-20,24,97.886608430212476,-0.53385012001939458,-1.3579304948052595E-05
2037-05-15,6,2037-05-21,24,97.885139037491456,-0.53564192334405902,3.7612045389323612E-06
2037-05-15,7,2037-05-22,24,97.883673405974974,,
2037-11-15,-7,2037-11-08,24,97.565459579530227,,
2037-11-15,-6,2037-11-09,24,97.565497761844455,-0.31366821489974939,-0.0017950945731115553
2037-11-15,-5,2037-11-10,24,97.563740849585571,-0.97078639385912879,-0.0018055529828302497
2037-11-15,-4,2037-11-11,24,97.560178384343857,-0.6373645587389376,0.0036325219423929411
2037-11-15,-3,2037-11-12,24,97.560248441044536,-0.30752918962235753,-0.0018252048513431873
2037-11-15,-2,2037-11-13,24,97.558493292893871,-1.2962400658932083,-0.0035923889912368168
2037-11-15,-1,2037-11-14,24,97.55314575575197,-0.96623373386428568,0.0054006428653678995
2037-11-15,0,2037-11-15,24,97.553198861475437,0.14921341159887191,0.00071139628785488185
2037-11-15,1,2037-11-16,25,97.553963363486758,-0.17316915896522289,-0.0024778761265622506
2037-11-15,2,2037-11-17,25,97.552249989371518,-0.6262792011452234,-4.9186251089849975E-06
2037-11-15,3,2037-11-18,25,97.550531696631168,-0.58318906742307774,0.00024102894687416665
2037-11-15,4,2037-11-19,25,97.549054432837693,-0.53894285571708167,1.4160487751269102E-06
2037-11-15,5,2037-11-20,25,97.547578585092992,-1.1900626653490676,-0.0035691958275805291
2037-11-15,6,2037-11-21,25,97.542533541520712,-0.86731664548523213,0.0053376671693001754
2037-11-15,7,2037-11-22,25,97.542826165117731,,
2038-05-15,-7,2038-05-08,25,97.248170322066429,,
2038-05-15,-6,2038-05-09,25,97.248208504380671,0.017044560342434067,1.7030222707603571E-05
2038-05-15,-5,2038-05-10,25,97.24826371691762,-0.31239469069376469,-0.0018221768037278707
2038-05-15,-4,2038-05-11,25,97.246496752650842,-0.64326875374298709,9.1682390745972953E-06
2038-05-15,-3,2038-05-12,25,97.244738956623138,-0.64405502493119826,-1.3476574352466741E-05
2038-05-15,-2,2038-05-13,25,97.242967684021082,-0.64781138906500502,-7.1062428190771243E-06
2038-05-15,-1,2038-05-14,25,97.241189305176206,-1.3012058317071862,-0.0035731372785079429
2038-05-15,0,2038-05-15,25,97.235837789052823,-0.83713007544606199,0.0061160181347332809
2038-05-15,1,2038-05-16,26,97.236602291064173,0.15077700263532279,-0.00070282866579418624
2038-05-15,2,2038-05-17,26,97.236663964409729,-0.30490346511705013,-0.0017940506095612818
2038-05-15,3,2038-05-18,26,97.234931587145724,-0.5883237813181097,0.00024106257558287325
2038-05-15,4,2038-05-19,26,97.233440272457301,-0.54406529724193575,1.4496659304086279E-06
2038-05-15,5,2038-05-20,26,97.231950407434809,-0.5472434394370751,-1.8864143711994075E-05
2038-05-15,6,2038-05-21,26,97.230441678268605,-1.2018315941668334,-0.0035679202657661335
2038-05-15,7,2038-05-22,26,97.225365028836634,,
2038-11-15,-7,2038-11-08,26,96.908363443352016,,
2038-11-15,-6,2038-11-09,26,96.906567858391611,-0.65251953821945818,1.5720396319807151E-05
2038-11-15,-5,2038-11-10,26,96.904787993827526,-0.98357662314921157,-0.0018297318205924284
2038-11-15,-4,2038-11-11,26,96.901178397442848,-0.6454503760884478,0.0036824783798294902
2038-11-15,-3,2038-11-12,26,96.901251279438,-0.98183472625176904,-0.0055256802985326203
2038-11-15,-2,2038-11-13,26,96.895798481134619,-0.98529460944870806,0.0055067220344398038
2038-11-15,-1,2038-11-14,26,96.895852404865678,0.020821688764200985,6.2439831651772693E-06
2038-11-15,0,2038-11-15,26,96.895912572579903,-0.17681180781973893,-0.0010891672521182727
2038-11-15,1,2038-11-16,27,96.894883573042009,-0.50408694349005856,-0.00070412116251361567
2038-11-15,2,2038-11-17,27,96.893150452341601,-0.63318781620107956,-3.2808797385541766E-06
2038-11-15,3,2038-11-18,27,96.891414050761455,-0.58978698074668046,0.00024109367674896021
2038-11-15,4,2038-11-19,27,96.889918742858057,-1.201588101988591,-0.0035934285876635386
2038-11-15,5,2038-11-20,27,96.884830006366997,-0.87664553202433382,0.0053739358203443999
2038-11-15,6,2038-11-21,27,96.88511520569628,0.10688352776249133,1.5264507254642012E-05
2038-11-15,7,2038-11-22,27,96.885415669532819,,
2039-05-15,-7,2039-05-08,27,96.588139536167958,,
2039-05-15,-6,2039-05-09,27,96.588178356760238,-0.31795362931706705,-0.0018198528520514401
2039-05-15,-5,2039-05-10,27,96.586397324500467,-0.64927171817664941,4.4112692592079839E-06
2039-05-15,-4,2039-05-11,27,96.584620703509955,-0.6458606754810603,1.4279375648129644E-05
2039-05-15,-3,2039-05-12,27,96.582858361895092,-0.64747178227396063,-2.3107358074980766E-05
2039-05-15,-2,2039-05-13,27,96.581072912922153,-1.3133475809895856,-0.003625527155435293
